OpenVR.Input.GetSkeletalReferenceTransforms(action.handle, EVRSkeletalTransformSpace.Parent, EVRSkeletalReferencePose.OpenHand, refBoneTransforms);
i,x,y,z,qx,qy,qz,qw
29,-0.01786923,-0.02323769,-0.1422353,-0.7216289,-0.262352,-0.2374145,0.5950273
30,-0.01600804,-0.04565192,-0.1192801,-0.7390304,-0.2654839,-0.3489999,0.511421



OpenVR.Input.GetSkeletalReferenceTransforms(action.handle, EVRSkeletalTransformSpace.Parent, EVRSkeletalReferencePose.Fist, refBoneTransforms);
i,x,y,z,qx,qy,qz,qw
0,0,0,0,-6.123234E-17,-3.749399E-33,6.123234E-17,1
1,-0.03403769,0.03650266,0.1647216,-0.07860815,-0.9202793,0.3792963,-0.05514664
2,-0.01630509,0.02752873,0.01779966,0.4833319,0.1264134,0.8363419,0.2257035
3,0.04040596,5.156155E-08,-4.544719E-08,-0.01330204,-0.0829018,0.4394482,0.8943353
4,0.03251679,5.113758E-08,1.293319E-08,0.0006549941,0.001244358,0.5388073,0.8424278
5,0.0304639,-1.626921E-07,-7.92839E-08,-1.387779E-17,1.387779E-17,5.551115E-17,1
6,0.003802149,0.02151419,0.01280337,0.3951745,-0.5108742,0.4491851,0.6173145
7,0.07420439,-0.005002201,0.0002337732,-0.03200609,-0.1150126,0.6649436,0.7372908
8,0.04328668,-5.933332E-08,-1.832006E-07,0.003287089,0.003823458,0.7913205,0.6113808
9,0.02827519,9.297885E-08,1.26533E-07,-0.0006836105,-0.0009450057,0.6666294,0.7453884
10,0.02282138,1.436515E-07,-7.651614E-08,1.040834E-17,-1.94289E-16,3.469447E-18,1
11,0.005786922,0.006806405,0.0165339,0.522315,-0.4783485,0.4836996,0.5142028
12,0.07095288,0.0007788326,0.0009971861,-0.0979008,0.04854586,0.681458,0.7236531
13,0.04310849,9.950596E-08,6.704183E-09,-0.002366167,-0.002830695,0.7704717,0.6374636
14,0.03326598,1.75445E-08,2.062896E-08,0.002610376,0.003196263,0.7529995,0.6580081
15,0.02589237,-9.984198E-08,2.035291E-09,1.163919E-17,5.60233E-17,0.04012563,0.9991946
16,0.004123044,-0.006858261,0.01656286,0.523374,-0.5206435,0.4639967,0.489609
17,0.06587581,0.001785789,0.000693441,-0.05560936,0.0115712,0.647471,0.7599704
